totClicks_1,totClicks_2,totClicks_3,totClicks_4,totClicks_5,totClicks_6,totClicks_7,totClicks_8,totClicks_9,totClicks_10,totClicks_11,totClicks_12,totClicks_13,totClicks_14,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,delay_1,delay_2,delay_3,delay_4,delay_5,delay_6,delay_7,delay_8,delay_9,delay_10,delay_11,delay_12,delay_13,delay_14
194.060802,23.905187,311.261996,26.743026,201.652729,19.178077,112.671970,28.268359,494.354651,43.032384,108.850354,61.221301,41.408438,254.974028,94.291194,80.613993,98.063209,87.956417,93.030576,93.962570,95.742518,92.099598,95.903082,86.336604,90.636124,85.743715,93.274853,82.640897,2.000000,-3.031604,3.000000,-2.219568,2.000000,-2.409012,3.000000,-2.367099,3.000000,0.587660,3.000000,0.136306,3.000000,-9.405902
244.065096,20.925860,272.447261,30.763147,230.167239,15.281560,210.780878,32.142870,415.980339,34.073269,101.218703,118.424792,24.189776,134.561017,76.103376,88.640446,94.000000,85.615623,89.711037,88.084212,88.254564,89.890357,86.760904,81.939636,82.569250,77.590965,81.877563,83.962328,2.000000,-0.793248,3.000000,0.756243,2.000000,-0.440691,3.000000,-0.641492,3.000000,-1.716381,3.000000,12.153080,3.000000,-10.385881
735.566105,13.851737,119.472782,0.000000,12.054038,25.491249,215.621128,9.070591,385.881394,0.000000,84.110641,119.408064,11.721955,46.479174,95.972007,97.328668,96.597201,93.729430,96.019669,98.652978,93.701081,92.292991,93.505181,95.276238,93.634065,97.614262,91.442886,88.104888,2.000000,-25.120270,3.000000,-22.625750,2.000000,-22.709450,3.000000,-12.607160,3.000000,-4.490565,3.000000,-34.905118,3.000000,-8.097660
2165.075101,113.670839,783.316961,86.466738,515.685503,70.481766,933.398941,68.035961,993.928540,33.767161,430.741975,693.371493,79.980342,452.694634,93.594728,91.000000,96.370346,93.251735,96.248150,91.898782,95.670626,93.883389,92.363488,87.640007,91.357646,79.211768,84.171057,84.625885,2.000000,-5.359473,3.000000,-4.607972,2.000000,-4.263033,3.000000,-3.573697,3.000000,-0.942985,3.000000,-0.003224,3.000000,-9.950584
591.915486,104.058392,571.869956,18.641956,379.062049,28.501400,400.678759,47.178154,760.901020,38.926354,221.503893,225.941638,56.743158,241.922806,98.136361,95.201298,94.129873,91.857848,96.014302,92.435013,95.159325,96.948885,93.726592,80.009676,90.696143,77.607120,93.567007,82.033005,2.000000,-0.266234,3.000000,0.267009,2.000000,-0.772837,3.000000,-2.180719,3.000000,3.657788,3.000000,1.991810,3.000000,-10.531655
109.913752,0.000000,125.128423,0.446337,79.049729,38.010416,260.825599,14.737176,479.144598,8.398067,62.027729,94.451638,44.228191,63.925849,96.142920,73.828526,96.614292,88.025455,81.866973,92.625747,95.614005,88.838304,92.045370,95.822036,66.354008,76.125472,73.138172,78.933111,-20.657197,-24.328599,-44.928686,-48.409628,2.000000,-9.314798,3.000000,-6.874981,3.000000,-3.349859,3.000000,-1.897431,3.000000,-9.973678
291.475245,3.213107,144.280475,14.320635,119.452310,12.775645,135.621272,16.292308,255.127959,19.829156,52.460384,75.066289,14.473215,26.767815,85.571952,95.357012,95.071036,86.887416,94.139298,90.821607,89.836767,91.111292,88.016596,83.289417,86.423234,81.576506,83.223758,86.859573,2.000000,-4.000000,3.000000,-2.093152,2.000000,-3.509475,3.000000,-2.307126,3.000000,-1.611064,3.000000,12.867616,3.000000,-10.023893
525.097199,11.999667,281.962048,16.611768,171.005448,22.198469,194.665399,21.392415,474.659042,26.188726,124.695931,130.820151,32.445830,167.177631,94.137816,90.241345,95.310253,89.147068,96.451797,93.706438,94.121363,93.314131,92.327979,87.913427,89.169479,87.093585,89.116660,85.048882,2.000000,-7.344874,3.000000,-5.582626,2.000000,-6.291869,3.000000,-4.793215,3.000000,-0.633515,3.000000,-0.821785,3.000000,-9.480663
379.652306,11.730710,351.619680,18.671958,207.577555,44.215471,358.315420,28.596655,683.273045,25.425286,145.358092,169.355926,55.874252,180.403501,98.994511,77.703263,97.000000,90.083335,86.466342,93.445754,97.506668,90.889274,94.260533,93.877128,72.815166,76.761725,79.317181,78.608747,-15.285759,-17.620922,-33.566028,-35.809399,2.000000,-6.084358,3.000000,-5.781612,3.000000,-1.589416,3.000000,3.999199,3.000000,-10.382083
243.583851,31.000000,345.057647,27.750580,225.835699,23.305727,200.223545,34.513514,485.233068,39.460577,105.566253,84.955312,35.052291,191.885377,90.809006,87.315314,99.589189,89.364575,91.644307,93.561926,94.239222,90.597320,95.028347,83.918120,91.224119,81.319663,91.386069,83.359956,2.000000,-2.232434,3.000000,-1.454802,2.000000,-1.963329,3.000000,-1.565528,3.000000,-0.257849,3.000000,8.773066,3.000000,-10.050494
277.789236,45.433734,353.509080,28.319630,228.175103,24.001687,189.537403,34.562688,509.726473,41.410719,119.121901,93.394477,43.121048,243.884313,95.408960,83.473782,100.000000,89.423160,92.187617,94.588293,96.021618,91.587843,97.079168,84.667709,93.027832,83.406513,94.129618,82.939085,2.000000,-2.623452,3.000000,-2.206642,2.000000,-2.330134,3.000000,-1.836848,3.000000,0.685456,3.000000,2.154619,3.000000,-9.605332
368.227541,8.872443,159.923008,22.895976,131.652466,17.618233,189.715602,21.193770,244.817321,20.436512,56.014793,102.971774,14.687788,33.034518,84.275569,95.107102,97.382671,87.364824,92.508049,91.113378,89.827067,89.482918,88.911040,82.844309,87.912265,80.081252,82.856635,87.155106,2.000000,-3.617329,3.000000,-1.999464,2.000000,-3.197596,3.000000,-1.569245,3.000000,-2.319792,3.000000,15.969867,3.000000,-10.101686
637.299202,64.817261,321.508898,33.321129,239.201211,21.259599,231.017030,27.555557,504.785359,35.528515,172.950100,206.889783,53.270518,276.044803,97.862760,82.313799,94.000000,86.732413,96.359042,91.939292,95.182165,95.521170,92.836626,84.559455,89.363480,84.952858,90.000793,84.138477,2.000000,-1.862760,3.000000,-1.126424,2.000000,-1.444601,3.000000,-2.094587,3.000000,2.249136,3.000000,-4.140005,3.000000,-9.065637
