totClicks_1,totClicks_2,totClicks_3,totClicks_4,totClicks_5,totClicks_6,totClicks_7,totClicks_8,totClicks_9,totClicks_10,totClicks_11,totClicks_12,totClicks_13,totClicks_14,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,delay_1,delay_2,delay_3,delay_4,delay_5,delay_6,delay_7,delay_8,delay_9,delay_10,delay_11,delay_12,delay_13,delay_14
184.470958,2.319354,100.994618,14.761971,47.622880,11.653873,52.762930,13.050911,185.445914,20.942444,48.161203,27.829436,0.000000,39.738393,90.141399,81.879569,98.680646,83.481857,89.484218,89.306143,89.734719,82.974762,88.996885,77.231916,84.999511,62.127394,79.556710,65.034394,2.000000,-0.780108,3.000000,3.565910,1.977980,-0.572854,2.927723,-2.336916,3.000000,0.926123,2.983129,23.496017,2.973770,-9.881289
1126.082703,61.581158,355.716531,40.637507,310.858406,25.955058,367.735215,52.520230,667.980422,32.555136,167.424070,224.060441,97.513206,309.189840,70.270372,85.013565,80.635139,84.574439,78.337608,83.528861,78.019183,76.605455,79.588035,68.651727,72.262891,53.959190,62.627276,57.010574,30.945645,-13.567593,3.000000,-14.044873,3.672179,2.425648,3.002986,2.109270,3.000000,-1.377161,3.071645,29.293041,3.012612,-9.603047
502.711618,17.132412,383.999191,32.777587,237.154008,21.970060,294.569879,35.659527,465.062922,26.276436,124.328977,171.130091,52.128203,230.077976,93.000000,84.295695,97.000000,85.871301,92.217790,90.756022,90.197439,86.397802,88.706282,77.355847,84.786328,66.311346,77.913428,64.867198,2.000000,-5.369618,3.000000,-0.975096,1.098329,-2.485886,2.969884,-3.928924,3.000000,0.290843,2.952793,18.271784,2.989289,-9.911984
594.263455,61.994759,365.972485,36.042121,246.862428,26.392394,294.390007,41.033793,504.097367,34.230094,136.763459,185.349259,64.177982,221.099720,72.499672,76.999345,88.499672,78.409218,78.335235,83.046529,78.007873,73.498575,80.739718,70.005285,74.558464,58.991153,66.623253,58.858778,2.000000,-0.833224,3.000000,0.110164,2.968281,-0.912921,3.070742,0.872838,3.000000,0.378259,3.057323,17.970048,3.090733,-9.834902
343.902741,14.033508,272.510010,21.882478,158.033088,11.561157,185.375496,23.789215,326.412894,27.386777,88.090369,128.976667,29.752926,145.509753,60.114014,69.573761,67.144257,66.665277,60.424141,70.446192,63.361495,59.253561,67.232764,61.998551,56.488928,49.280487,48.919288,50.393588,2.000000,-1.587250,3.000000,4.245425,3.073066,-2.122381,3.005680,5.938522,3.000000,-0.326620,3.213662,6.237849,3.017532,-9.718024
736.779067,17.554869,276.245760,31.215683,209.009277,19.359386,254.750415,33.399779,479.232638,26.876911,124.824788,152.635119,57.268193,225.780070,90.445131,84.406492,94.445131,85.977449,89.844698,90.055882,88.083660,84.313914,87.021538,76.726399,83.008194,60.261361,74.812161,62.553578,2.000000,-1.000000,3.000000,2.137024,2.216157,0.883937,2.937174,-1.359560,3.000000,-0.243305,2.980180,30.259819,2.960160,-9.718065
587.556759,12.702869,401.244914,34.240087,254.685934,20.624945,314.540233,36.578071,493.574733,27.075221,132.154740,188.924266,59.781097,259.993169,83.965923,83.801912,91.167198,83.436927,85.715685,87.820030,84.581398,81.969329,84.120750,75.004491,79.006106,63.496721,71.166607,62.305005,2.000000,-3.300319,3.000000,-0.387069,2.003930,-2.358243,2.966807,-1.397186,3.000000,-0.075327,2.988346,14.911929,2.985996,-9.825928
310.359488,38.322160,214.019807,21.416446,139.701141,15.916464,167.312530,27.093219,348.065681,30.852787,87.958867,104.539335,19.415937,118.425828,78.670983,85.665651,77.670983,77.686628,76.183276,83.032061,75.650410,72.792775,79.308394,72.236078,70.924582,60.162148,64.660930,58.574536,2.000000,-6.331302,3.000000,-0.031223,2.424626,-2.730825,2.991093,0.583568,3.000000,-0.455988,3.197839,1.449077,3.036329,-9.853547
271.024302,50.362549,404.773702,29.889559,228.554461,23.261726,277.711665,35.861983,417.298934,32.206452,116.969313,176.871853,46.257457,175.576148,75.421514,66.142231,77.142231,68.996383,72.224330,74.627362,72.279612,65.978293,74.940920,64.451565,66.166888,56.195415,60.087820,54.173572,2.000000,-2.112749,3.000000,4.222235,0.714885,-3.608148,3.089271,0.435863,3.000000,0.567472,3.149040,8.805015,3.083851,-9.992205
786.793592,59.705683,422.143923,42.189756,289.436016,28.346571,342.775896,45.861606,566.268363,32.580033,153.103333,213.218572,82.973076,272.144473,67.000000,77.847661,95.193783,81.943454,78.994592,84.385009,79.685314,75.692791,81.485541,69.909821,76.690913,58.785025,67.426229,59.932474,2.000000,-5.581350,3.000000,-5.554748,4.072220,0.238840,3.076595,1.682424,3.000000,0.479900,2.960772,26.511734,3.091753,-9.720568
195.871441,13.317110,162.850014,16.347401,79.730210,11.581635,87.233192,15.910692,209.335332,23.557954,57.715491,61.762969,7.625639,55.914124,73.000000,68.459137,82.857974,71.601139,72.420430,76.299382,74.884695,67.397383,76.492575,66.512531,68.912908,52.362231,62.761313,55.806605,2.000000,-0.371595,3.000000,5.487426,2.301077,-0.654355,2.994181,2.415623,3.000000,0.747835,3.097608,20.807950,3.012664,-9.812418
